bus,x,y,distance_km,kvBase,kvLL,pu_a,pu_b,pu_c
fde6c6f0-66f1-43ee-94bb-65c3f330bd74_ht,34.67900036655315,-82.836604940945,0.7591322182614095,7.199557856794634,"[-0.0003495592676762832, -0.9996226327949831, -0.865523814509232, 0.5001140435056185, 0.8658733737769083, 0.49950858928936465]",0.9996226938860698,0.9996226938811653,0.9996226938786362
fde6c6f0-66f1-43ee-94bb-65c3f330bd74,34.67900036655315,-82.836604940945,0.7591322182614095,0.27712812921102037,"[-0.0046428215002724356, -0.997285518384876, -0.8613531829427898, 0.5026635604590985, 0.8659960044430624, 0.4946219579257774]",0.9972963255303393,0.9972963255254506,0.9972963255229425
1e49a5a7-cec4-415a-8ea3-33f157d3592a_ht,34.67708855909302,-82.83382688718363,1.046220824433598,7.199557856794634,"[-0.00041799333896416795, -0.9995420020400355, -0.8654197691915487, 0.5001329937729164, 0.8658377625305129, 0.4994090082671191]",0.9995420894125122,0.9995420894077078,0.999542089401933
1e49a5a7-cec4-415a-8ea3-33f157d3592a,34.67708855909302,-82.83382688718363,1.046220824433598,0.27712812921102037,"[-0.0016160630640669046, -0.9988951561829189, -0.8642605493845537, 0.5008471296618038, 0.8658766124486206, 0.4980480265211152]",0.9988964634295636,0.9988964634247643,0.9988964634189913
55b8b78c-31cd-4574-90aa-bf37208faea1_ht,34.67765914566613,-82.8346702555593,0.9463186686378073,7.199557856794634,"[-0.0004174726726088093, -0.9995423614661428, -0.865420340796888, 0.5001327225755957, 0.8658378134694967, 0.4994096388905471]",0.9995424486208938,0.9995424486160157,0.9995424486107118
55b8b78c-31cd-4574-90aa-bf37208faea1,34.67765914566613,-82.8346702555593,0.9463186686378073,0.27712812921102037,"[-0.03169328866774172, -0.9825958531198367, -0.8351063260699546, 0.5187451195782409, 0.8667996147376963, 0.4638507335415959]",0.983106848243346,0.9831068482385386,0.9831068482332904
79b5b874-4748-484a-9185-e5d5b14abc7d_ht,34.676951937809214,-82.83543373770121,0.84119622814085,7.199557856794634,"[-0.00040156354566282365, -0.9995609466658174, -0.865444390615477, 0.5001282374671935, 0.8658459541611397, 0.49943270919862404]",0.9995610273008435,0.9995610272957507,0.9995610272914904
79b5b874-4748-484a-9185-e5d5b14abc7d,34.676951937809214,-82.83543373770121,0.84119622814085,0.27712812921102037,"[-0.03254648427629222, -0.9822478693686347, -0.8343783654972114, 0.5193100167738749, 0.8669248497735036, 0.4629378525947599]",0.982786930349488,0.9827869303444657,0.9827869303402652
dcde0bfe-3a3d-4ff8-8a75-7cc11b4d34a1_ht,34.67877523758875,-82.8353188693331,0.6386552777201548,7.199557856794634,"[-0.00034024981579433626, -0.9996324587119063, -0.8655369787288305, 0.5001108942423278, 0.865877228544625, 0.49952156446957857]",0.9996325165902284,0.9996325165853622,0.9996325165830687
dcde0bfe-3a3d-4ff8-8a75-7cc11b4d34a1,34.67877523758875,-82.8353188693331,0.6386552777201548,0.27712812921102037,"[-0.016065616383691566, -0.9907908946414937, -0.8500172763527419, 0.5093086791387386, 0.8660828927364335, 0.4814822155027551]",0.990921137568193,0.990921137563357,0.9909211375610624
ff4e789f-8cc0-412d-801f-775a88fd5d87_ht,34.67561267428637,-82.83402572986128,0.26834204583965,7.199557856794634,"[-0.00017598884616031605, -0.9998149374010413, -0.8657771403934288, 0.5000598794142298, 0.8659531292395892, 0.4997550579868116]",0.9998149528597785,0.9998149528566966,0.9998149528564357
ff4e789f-8cc0-412d-801f-775a88fd5d87,34.67561267428637,-82.83402572986128,0.26834204583965,0.27712812921102037,"[-0.008674704657983116, -0.9951369250797193, -0.8574765049791255, 0.5050809770461356, 0.8661512096371087, 0.49005594803358365]",0.9951747334504919,0.9951747334474246,0.995174733447161
4cb1e7c3-c716-481d-a9cc-7b522f1ad926_ht,34.67346486133547,-82.83225339945567,0.2717373458777537,7.199557856794634,"[-0.0001164370385421299, -0.9998795382332191, -0.8658628622592346, 0.5000406064523851, 0.8659792992977767, 0.4998389317808339]",0.9998795449818575,0.999879544979335,0.9998795449807678
4cb1e7c3-c716-481d-a9cc-7b522f1ad926,34.67346486133547,-82.83225339945567,0.2717373458777537,0.27712812921102037,"[-0.017706075792397215, -0.9899339027664067, -0.8484548699135369, 0.5103008627232013, 0.8661609457059342, 0.4796330400432055]",0.990092236564638,0.9900922365621473,0.9900922365635532
3d69988e-d438-41d1-8509-a035e81e2f4e_ht,34.67381397784516,-82.83387299502245,0.0001438958602881815,7.199557856794634,"[-3.895641482685151e-06, -0.9999963459250811, -0.86602029138567, 0.5000015465894525, 0.8660241870271527, 0.4999947993356286]",0.9999963459001573,0.9999963459001432,0.9999963459001566
3d69988e-d438-41d1-8509-a035e81e2f4e,34.67381397784516,-82.83387299502245,0.0001438958602881815,0.27712812921102037,"[-0.03127458572725601, -0.9814962548246484, -0.8343633974815757, 0.5178327130474305, 0.8656379832088317, 0.4636635417772179]",0.9819943980922501,0.9819943980922238,0.9819943980921992
51e400dd-7c7c-4f5a-89da-c0f4ea619a3a,34.671427440062565,-82.83477249251003,0.7604357909963193,0.27712812921102037,"[-0.0019274758149778156, -0.9988322493765113, -0.8640503641174827, 0.5010853676123012, 0.8659778399324605, 0.4977468817642102]",0.9988341090980047,0.9988341090934629,0.9988341090983106
64aced96-2084-4e76-adcb-c62b326a9160,34.675888734269435,-82.83644572701454,1.1999928829947197,0.27712812921102037,"[-0.019878124574556347, -0.9882066179996786, -0.8458729730374894, 0.5113182697639329, 0.8657510976120458, 0.4768883482357457]",0.9884065254941389,0.9884065254871836,0.9884065254939713
93a748b0-12e1-46b5-ae71-8db863f5527e,34.675888734269435,-82.83599583993619,1.2412235325853858,0.27712812921102037,"[-0.021326637377789302, -0.9872110490460781, -0.8442865286310298, 0.5120749341724585, 0.8656131660088191, 0.47513611487361956]",0.9874413809260639,0.9874413809188959,0.9874413809259183
a16ea384-8006-4c87-8506-1c3e7fcd55e9,34.675888734269435,-82.83554595285784,1.2824541821760518,0.27712812921102037,"[-0.02277514828034756, -0.9862154773182442, -0.8427000827723509, 0.5128315955478351, 0.8654752310526985, 0.4733838817704091]",0.986478420963252,0.9864784209558719,0.9864784209631298
38360e68-8bfd-42b0-8464-b194c6e1dc1d,34.675888734269435,-82.83689561409288,1.2412235325853858,0.27712812921102037,"[-0.02127083512388115, -0.9872505947250869, -0.8443486773206081, 0.5120463808424893, 0.8656195124444892, 0.47520421388259754]",0.9874797137949545,0.9874797137877953,0.9874797137948093
cf58f485-69e7-4aa0-8336-7281d0779549,34.67543884719109,-82.83689561409288,1.2911315973527246,0.27712812921102037,"[-0.022514079152412828, -0.9863965406752183, -0.8429874228031176, 0.5126960347293834, 0.8655015019555303, 0.47370050594583485]",0.9866534443060446,0.9866534442987042,0.98665344430592
aeadcd37-355f-4dd5-b765-7f68478228a0,34.67498896011274,-82.83689561409288,1.3410396584302664,0.27712812921102037,"[-0.022670527953955973, -0.9862890141837792, -0.8428160777292011, 0.5127777601201942, 0.865486605683157, 0.4735112540635852]",0.9865495285499916,0.9865495285426283,0.9865495285498693
9198bd4c-8e28-4ef6-8649-f795662f7e47,34.67498896011274,-82.83644572701454,1.3822707539216512,0.27712812921102037,"[-0.02279977462027573, -0.9862001790800635, -0.8426745209394928, 0.5128452734647255, 0.8654742955597686, 0.47335490561533805]",0.9864636956752103,0.9864636956678282,0.9864636956750901
ae567475-3545-497c-be4e-e6840d81ed46,34.67676039223163,-82.83779866451812,1.4231117417144417,0.27712812921102037,"[-0.010670177252980296, -0.9937316169826462, -0.8552617361729618, 0.5061064529586499, 0.8659319134259421, 0.48762516402399636]",0.993788900731493,0.9937889007248992,0.9937889007326249
f7166f81-0227-4186-aae6-5131a81df5a3,34.677210279309975,-82.83779866451812,1.4730198173227895,0.27712812921102037,"[-0.010775701134293018, -0.9936108153325008, -0.8551043569344773, 0.5061374384955063, 0.8658800580687703, 0.4874733768369946]",0.9936692447813059,0.9936692447746706,0.9936692447824352
d667039e-ce84-40cc-ab17-3f2aaf2a92e1,34.67676039223163,-82.83734877743977,1.3818815241006785,0.27712812921102037,"[-0.010582959745352246, -0.9938313775338685, -0.8553917400984159, 0.506080800656995, 0.8659746998437681, 0.4877505768768734]",0.9938877230106808,0.9938877230041223,0.9938877230118154
b26a4225-f708-485a-9e6b-7e32e39685b8,34.67631050515328,-82.83734877743977,1.4317895960163833,0.27712812921102037,"[-0.011603531778770264, -0.9926605684039733, -0.8538675036323953, 0.5063792373994389, 0.8654710354111654, 0.4862813310045343]",0.992728384784976,0.9927283847780068,0.9927283847860773
9037afbd-26b1-473f-ba3f-1eb50330816e,34.67654491776013,-82.83802487742742,1.337696499481957,0.27712812921102037,"[-0.011118481426541926, -0.9934036096320575, -0.8547535213879622, 0.5063306920862628, 0.865872002814504, 0.4870729175457947]",0.9934658284022682,0.99346582839555,0.9934658284031818
e5130a20-ee25-47f4-b59a-5f8ae412150f,34.676095030681786,-82.83802487742742,1.387604569632517,0.27712812921102037,"[-0.012137983871909223, -0.9922327431667128, -0.8532297700620111, 0.5066281738705586, 0.8653677539339204, 0.4856045692961542]",0.9923069823440794,0.9923069823369527,0.9923069823449608
328d9cba-e71e-4b41-8d16-17c65132a7be,34.67654491776013,-82.83757499034907,1.378926823881609,0.27712812921102037,"[-0.011128018071740147, -0.9933927175043351, -0.8547393202060555, 0.5063335049994107, 0.8658673382777956, 0.4870592125049244]",0.9934550437340524,0.9934550437273301,0.9934550437349657
5ad8d989-5e23-4e96-96cd-4b3ef77cb000,34.67328981553977,-82.83513455703985,1.1098620440768945,0.27712812921102037,"[-0.037926778651768314, -0.9783797437727002, -0.8283383232807111, 0.5220354255855244, 0.8662651019324793, 0.4563443181871758]",0.9791145813991112,0.9791145813926987,0.9791145813994626
0754658c-cea4-4c89-bfea-cc44efdade3f,34.67328981553977,-82.8346846699615,1.1510939815848895,0.27712812921102037,"[-0.03944633189593386, -0.9777092546882712, -0.826997886078736, 0.523016152755144, 0.8664442179746698, 0.4546931019331272]",0.9785046753838251,0.9785046753772548,0.9785046753842228
f02a51c5-0487-49fe-a53c-19f24b979cad,34.673739702618114,-82.8355844441182,1.1011857115059875,0.27712812921102037,"[-0.036162161744171355, -0.9791586619273619, -0.8298951946437026, 0.5208966815929477, 0.866057356387874, 0.4582619803344142]",0.9798262025042737,0.9798262024980455,0.9798262025045728
641fc047-02cc-4bd0-ac73-5d4d6561c687,34.673739702618114,-82.83603433119654,1.1424174260745166,0.27712812921102037,"[-0.03623684575894295, -0.9791260056093997, -0.8298295714353766, 0.5209450316880145, 0.8660664171943196, 0.4581809739213851]",0.9797963277108848,0.9797963277046486,0.9797963277111861
e1fc24b3-1f74-44a3-9f8e-11bca00319f0,34.673739702618114,-82.83513455703985,1.0599539969374585,0.27712812921102037,"[-0.03608747732220945, -0.9791913173139115, -0.8299608172489968, 0.5208483306795373, 0.8660482945712064, 0.4583429866343741]",0.9798560822217617,0.979856082215541,0.9798560822220583
3e990ed5-8add-498e-b152-f419eef4e798,34.67418958969646,-82.83513455703985,1.1098620477670156,0.27712812921102037,"[-0.037926267285929634, -0.9783792416577093, -0.8283381441192927, 0.5220347316722223, 0.8662644114052223, 0.4563445099854871]",0.9791140598529263,0.9791140598465141,0.979114059853278
6a9640e9-3a56-412d-b2b0-6dce205c554b,34.67463947677481,-82.83513455703985,1.1597701022863471,0.27712812921102037,"[-0.03976505678694346, -0.9775671645789065, -0.8267154699889335, 0.5232211315528913, 0.8664805267758771, 0.45434603302601523]",0.9783756032061551,0.978375603199552,0.9783756032065627
779d9f78-74a0-4a10-bea4-0ffcd03ea93d,34.67808929130613,-82.8369137286446,0.8926775679882757,0.27712812921102037,"[-0.017721980930528798, -0.9896731282561786, -0.848221079994325, 0.5101842497214779, 0.8659430609248538, 0.4794888785347007]",0.9898317884096393,0.9898317884044802,0.9898317884020555
b9d3e2b6-9c11-45aa-ac31-6450e3001efa,34.67763940422778,-82.8369137286446,0.9425856508061174,0.27712812921102037,"[-0.020839886430965748, -0.9875392901423242, -0.8448141692303683, 0.5118175160345644, 0.8656540556613341, 0.47572177410775995]",0.9877591560635973,0.9877591560580112,0.9877591560561187
05c6d8b1-ea32-44e1-85c1-3d5def65086a,34.6789769331063,-82.8366485,0.7638959396857202,0.27712812921102037,"[-0.004690059902323304, -0.9972320822738807, -0.8612832867121708, 0.5026777520598139, 0.8659733466144942, 0.49455433021406686]",0.9972431110430634,0.9972431110381567,0.9972431110356673
29399485-4f29-4710-af7f-6791e8fc381b,34.677237341899364,-82.83386833456396,1.0631574410276508,0.27712812921102037,"[-0.0016572757796729694, -0.9988488610191981, -0.8641998502389024, 0.5008596733386195, 0.8658571260185755, 0.49798918768057854]",0.9988502358556752,0.9988502358508607,0.9988502358451042
900b5abc-ec7f-4ae4-8ff5-a5ed8b86eced,34.67678745482102,-82.83386833456396,1.1130655168573025,0.27712812921102037,"[-0.001729407934916812, -0.9987678069005349, -0.8640935892354483, 0.5008816145581628, 0.8658229971703651, 0.497886192342372]",0.9987693041435112,0.9987693041386707,0.9987693041329424
88ceb0dc-ab48-4b87-a001-0a6b423266e9,34.67826186751466,-82.8347391909493,1.0143201942858484,0.27712812921102037,"[-0.038255366389596604, -0.9796907656820283, -0.8293094076884694, 0.5229755018679914, 0.8675647740780659, 0.456715263814037]",0.9804373867661509,0.9804373867607415,0.9804373867563895
