bus,pu_a,pu_b,pu_c,distance_km,x,y,kvLL,kvBase,hour,converged,has_pv,has_load
1e49a5a7-cec4-415a-8ea3-33f157d3592a_ht,1.0003248308861363,1.0003248308857826,1.0003248308820167,1.046220824433598,34.67708855909302,-82.83382688718363,"[0.0002749009559537252, -1.0003247931446302, -0.8664441333194841, 0.4999243252627627, 0.8661692323635304, 0.5004004678818675]",7.199557856794634,1837,True,False,False
1e49a5a7-cec4-415a-8ea3-33f157d3592a,1.0000685467298072,1.0000685467294521,1.0000685467256916,1.046220824433598,34.67708855909302,-82.83382688718363,"[-0.00020218752133966216, -1.0000685263227942, -0.8659836555030452, 0.5002093625930316, 0.8661858430243848, 0.4998591637297625]",0.27712812921102037,1837,True,False,False
55b8b78c-31cd-4574-90aa-bf37208faea1_ht,1.0003249356549229,1.0003249356544544,1.000324935650888,0.9463186686378073,34.67765914566613,-82.8346702555593,"[0.0002751946583581958, -1.0003248978326578, -0.8664443708331724, 0.49992412325309177, 0.8661691761748141, 0.5004007745795662]",7.199557856794634,1837,True,False,False
55b8b78c-31cd-4574-90aa-bf37208faea1,1.0077937003846336,1.0077937003841404,1.0077937003806166,0.9463186686378073,34.67765914566613,-82.8346702555593,"[0.01640976383090121, -1.0076600926155017, -0.8808641204411238, 0.48961877386205693, 0.8644543566102225, 0.5180413187534447]",0.27712812921102037,1837,True,False,False
79b5b874-4748-484a-9185-e5d5b14abc7d_ht,1.0003162037516424,1.000316203751681,1.0003162037480273,0.84119622814085,34.676951937809214,-82.83543373770121,"[0.0002675890615659025, -1.0003161679927235, -0.8664330077717564, 0.49992634497318916, 0.8661654187101904, 0.5003898230195344]",7.199557856794634,1837,True,False,False
79b5b874-4748-484a-9185-e5d5b14abc7d,1.0103992444547707,1.0103992444547678,1.0103992444511851,0.84119622814085,34.676951937809214,-82.83543373770121,"[0.02204147150820101, -1.0101588027598596, -0.8858439207409279, 0.48599092701907043, 0.8638024492327269, 0.5241678757407892]",0.27712812921102037,1837,True,False,False
dcde0bfe-3a3d-4ff8-8a75-7cc11b4d34a1_ht,1.0002763917888502,1.0002763917900885,1.0002763917865563,0.6386552777201548,34.67877523758875,-82.8353188693331,"[0.0002323945104787403, -1.0002763648252697, -0.8663809399420418, 0.4999369227648095, 0.8661485454315632, 0.5003394420604603]",7.199557856794634,1837,True,False,False
dcde0bfe-3a3d-4ff8-8a75-7cc11b4d34a1,0.9982804555967842,0.9982804555980193,0.9982804555944917,0.6386552777201548,34.67877523758875,-82.8353188693331,"[-0.0034526335060415174, -0.9982744850056411, -0.8628047471551346, 0.5021273107309459, 0.8662573806611761, 0.4961471742746953]",0.27712812921102037,1837,True,False,False
ff4e789f-8cc0-412d-801f-775a88fd5d87_ht,1.0001624666523863,1.0001624666524567,1.000162466651379,0.26834204583965,34.67561267428637,-82.83402572986128,"[0.00013634380265782414, -1.0001624573915007, -0.8662342678571312, 0.49996315140088593, 0.8660979240544733, 0.5001993059906147]",7.199557856794634,1837,True,False,False
ff4e789f-8cc0-412d-801f-775a88fd5d87,1.007547629953724,1.0075476299537842,1.0075476299527206,0.26834204583965,34.67561267428637,-82.83402572986128,"[0.014215848361556442, -1.0074473367608539, -0.8795829107321542, 0.49141238246490476, 0.8653670623705978, 0.5160349542959491]",0.27712812921102037,1837,True,False,False
4cb1e7c3-c716-481d-a9cc-7b522f1ad926_ht,1.000129837509314,1.000129837508347,1.0001298375086727,0.2717373458777537,34.67346486133547,-82.83225339945567,"[0.00011229696728447728, -1.0001298312368472, -0.8661939893609973, 0.4999676634939848, 0.8660816923937129, 0.5001621677428623]",7.199557856794634,1837,True,False,False
4cb1e7c3-c716-481d-a9cc-7b522f1ad926,1.0180206282160844,1.0180206282150057,1.0180206282153321,0.2717373458777537,34.67346486133547,-82.83225339945567,"[0.03680835097326345, -1.0173549748432715, -0.899459428306391, 0.47680052030962977, 0.8626510773331276, 0.5405544545336417]",0.27712812921102037,1837,True,False,False
3d69988e-d438-41d1-8509-a035e81e2f4e_ht,1.0000031275538819,1.0000031275538666,1.0000031275538779,0.0001438958602881815,34.67381397784516,-82.83387299502245,"[2.9402420110555927e-06, -1.0000031275820769, -0.866029582414642, 0.4999990173691756, 0.866026642172631, 0.5000041102129011]",7.199557856794634,1837,True,False,False
3d69988e-d438-41d1-8509-a035e81e2f4e,0.99828704557529,0.998287045575273,0.9982870455752864,0.0001438958602881815,34.67381397784516,-82.83387299502245,"[-0.003164804391232738, -0.9982820290085456, -0.86295519501133, 0.5018818154074903, 0.8661199994025629, 0.49640021360105524]",0.27712812921102037,1837,True,False,False
51e400dd-7c7c-4f5a-89da-c0f4ea619a3a,1.000044144021971,1.000044144015892,1.0000441440244423,0.7604357909963193,34.671427440062565,-82.83477249251003,"[-0.00022975015141787718, -1.0000441176607726, -0.8659487356693415, 0.5002210281980938, 0.8661784858207594, 0.49982308946267884]",0.27712812921102037,1837,True,False,True
64aced96-2084-4e76-adcb-c62b326a9160,0.9987476308268866,0.9987476308209001,0.9987476308321893,1.1999928829947197,34.675888734269435,-82.83644572701454,"[-0.0026241394628713738, -0.998744183479978, -0.8636257649914162, 0.5016446630774595, 0.8662499044542875, 0.4970995204025185]",0.27712812921102037,1837,True,False,False
93a748b0-12e1-46b5-ae71-8db863f5527e,0.9986596868865469,0.9986596868805389,0.9986596868918505,1.2412235325853858,34.675888734269435,-82.83599583993619,"[-0.002758356390250268, -0.9986558775389175, -0.8634821813394815, 0.5017167453756587, 0.8662405377297319, 0.49693913216325875]",0.27712812921102037,1837,True,False,False
a16ea384-8006-4c87-8506-1c3e7fcd55e9,0.9985717582031859,0.998571758197156,0.9985717582084902,1.2824541821760518,34.675888734269435,-82.83554595285784,"[-0.0028925714485522392, -0.9985675687563947, -0.8633385961613068, 0.5017888246344587, 0.866231167609859, 0.49677874412193607]",0.27712812921102037,1837,True,False,True
38360e68-8bfd-42b0-8464-b194c6e1dc1d,0.9985669714714662,0.998566971465437,0.9985669714767716,1.2412235325853858,34.675888734269435,-82.83689561409288,"[-0.002899749311621906, -0.9985627611864297, -0.8633308437520527, 0.5017926370612399, 0.8662305930636746, 0.49677012412518984]",0.27712812921102037,1837,True,False,True
cf58f485-69e7-4aa0-8336-7281d0779549,0.9983890402843952,0.9983890402783238,0.9983890402897039,1.2911315973527246,34.67543884719109,-82.83689561409288,"[-0.003171277411707803, -0.9983840036880433, -0.863040271167327, 0.5019384085445656, 0.8662115485790348, 0.4964455951434776]",0.27712812921102037,1837,True,False,True
aeadcd37-355f-4dd5-b765-7f68478228a0,0.9983688969468022,0.9983688969407258,0.9983688969521114,1.3410396584302664,34.67498896011274,-82.83689561409288,"[-0.003202030166706275, -0.9983637620898376, -0.8630073650515727, 0.5019549204125282, 0.866209395218279, 0.4964088416773093]",0.27712812921102037,1837,True,False,False
9198bd4c-8e28-4ef6-8649-f795662f7e47,0.9983522532819533,0.9983522532758733,0.9983522532872632,1.3822707539216512,34.67498896011274,-82.83644572701454,"[-0.003227434211887233, -0.9983470365369673, -0.8629801782753077, 0.5019685581845793, 0.8662076124871949, 0.496378478352388]",0.27712812921102037,1837,True,False,True
ae567475-3545-497c-be4e-e6840d81ed46,0.999689264642566,0.9996892646357614,0.9996892646472375,1.4231117417144417,34.67676039223163,-82.83779866451812,"[-0.0009738546456195726, -0.9996887903283704, -0.8652689609274365, 0.5006877779259867, 0.8662428155730562, 0.4990010124023836]",0.27712812921102037,1837,True,False,False
f7166f81-0227-4186-aae6-5131a81df5a3,0.9996638331216791,0.9996638331148643,0.9996638331263495,1.4730198173227895,34.677210279309975,-82.83779866451812,"[-0.0009965742632275603, -0.9996633364041779, -0.8652355573736595, 0.5006947267299048, 0.8662321316368871, 0.49896860967427314]",0.27712812921102037,1837,True,False,True
d667039e-ce84-40cc-ab17-3f2aaf2a92e1,0.9997102374455908,0.9997102374387928,0.999710237450263,1.3818815241006785,34.67676039223163,-82.83734877743977,"[-0.000955043771072243, -0.9997097812887493, -0.8652965450696453, 0.5006819827109495, 0.8662515888407175, 0.4990277985777999]",0.27712812921102037,1837,True,False,True
b26a4225-f708-485a-9e6b-7e32e39685b8,0.9996048911661515,0.9996048911593144,0.9996048911708197,1.4317895960163833,34.67631050515328,-82.83734877743977,"[-0.0010489920776407164, -0.9996043407860721, -0.8651582567624696, 0.5007106240797473, 0.8662072488401104, 0.49889371670632465]",0.27712812921102037,1837,True,False,True
9037afbd-26b1-473f-ba3f-1eb50330816e,1.0246945923637207,1.0246945923577266,1.0246945923682131,1.337696499481957,34.67654491776013,-82.83802487742742,"[0.0469033192843001, -1.0236205773246636, -0.9099330833831135, 0.4711908225400217, 0.8630297640988134, 0.552429754784642]",0.27712812921102037,1837,True,False,True
e5130a20-ee25-47f4-b59a-5f8ae412150f,1.0306241777315719,1.0306241777277587,1.0306241777359635,1.387604569632517,34.676095030681786,-82.83802487742742,"[0.052503079600904515, -1.0292859769871554, -0.9176393435708449, 0.46917398768177276, 0.8651362639699405, 0.5601119893053826]",0.27712812921102037,1837,True,True,True
328d9cba-e71e-4b41-8d16-17c65132a7be,1.024692789211981,1.0246927892059865,1.024692789216473,1.378926823881609,34.67654491776013,-82.83757499034907,"[0.04690159462111385, -1.0236188513054734, -0.9099307262750542, 0.47119145313255906, 0.8630291316539404, 0.5524273981729143]",0.27712812921102037,1837,True,False,True
