hour_index,total_pv_kW,total_load_kW,net_generation_kW,pv_to_load_ratio
2673,314.146455,261.07878170425,53.06767329575001,1.2032630600850667
1983,366.31302600000004,313.6571565815,52.65586941850006,1.1678771459402073
8196,404.44939,352.6298708715,51.81951912850002,1.1469515836916486
1000,337.643523,286.11687857124997,51.526644428750046,1.180089491769809
7042,321.676176,270.30590266525,51.37027333474998,1.1900449514353468
1474,346.979287,297.22650272975,49.752784270250004,1.1673901305769394
8559,333.230725,283.48609524175,49.74462975825003,1.175474668485431
327,358.847279,309.80626544275003,49.04101355724998,1.1582957411428358
8027,371.950847,323.3840533455,48.56679365450003,1.1501830161440545
7717,332.544947,284.05852644725,48.48642055274996,1.1706916528381777
2488,416.946163,369.13779454025,47.80836845975,1.129513607214835
7210,327.957302,280.663927704,47.293374296000025,1.1685053491354696
2367,512.137674,465.06424765275,47.07342634724995,1.1012191874211306
6538,339.26575,292.99063604925,46.27511395075004,1.157940586145664
7378,327.48543900000004,281.78899158125,45.69644741875004,1.1621654770832615
467,357.385428,311.83779935625,45.54762864374999,1.1460619193430541
3854,550.0342929999999,505.10691517275,44.92737782724993,1.0889462713511617
3010,443.864266,398.98987543225,44.87439056774997,1.1124699954019255
3660,570.784334,528.368963524,42.41537047599991,1.080276042545783
4861,555.021386,513.278298542,41.74308745799999,1.0813264197906818
3322,446.124911,405.32114678575,40.80376421425001,1.1006702054337876
7859,354.022402,313.66561213025,40.35678986975,1.1286618206790549
3851,524.070793,483.979622429,40.091170570999964,1.0828364824265817
8051,327.280093,288.4995005435,38.78059245650002,1.134421693101791
8055,330.29366600000003,292.77148239975,37.52218360025,1.128162012790765
1330,309.211019,271.9481649685,37.26285403150001,1.1370218949585276
8367,335.73127999999997,298.766653102,36.96462689799995,1.1237240682334653
8363,347.124578,310.205833934,36.91874406599999,1.1190136964182344
8723,319.093248,283.05388155325,36.03936644675002,1.1273233390111512
301,383.088548,347.21869976825,35.869848231749984,1.1033062077370401
2365,584.771011,548.97118164675,35.79982935325006,1.0652125821625986
1666,311.701324,275.9897327685,35.711591231499995,1.1293946327056312
2172,321.420259,286.64400828025,34.77625071975001,1.1213220880041121
2342,298.100337,263.60097965125,34.49935734875004,1.1308771927309083
2246,581.948126,548.316476805,33.63164919500002,1.0613361982657041
303,368.23554,335.69862707925,32.53691292075001,1.0969229815055093
3013,491.260826,459.0849868455,32.17583915450001,1.070086888062932
1887,514.891229,483.12171279424996,31.769516205749994,1.0657588228776649
7887,317.43823399999997,285.9589440085,31.479289991499968,1.1100832463574946
494,316.721918,285.88082153575,30.84109646425003,1.1078809525965783
7191,342.156931,311.511127549,30.645803451000006,1.0983778736693817
